ID	adj.P.Val	P.Value	t	B	logFC	AveExpr	Symbol
ILMN_1358809	0.931046748979592	0.775343525053415	-0.288800059913883	-6.67492101856689	-0.0101666207302422	7.52562196863086	LOC289701
ILMN_1358148	0.946366778781217	0.817990626424727	-0.232803878222089	-6.67497418730014	-0.00841690250822147	7.36015857192969	Olr322_predicted
ILMN_1349798	0.943386476502434	0.807719434039557	-0.246213924655573	-6.67501147487817	-0.00964836829806082	7.45849187837891	RGD1564126_predicted
ILMN_1374311	0.922284713342543	0.751253550265099	0.320840000559829	-6.67505623584574	0.0134164605523548	7.66230351537109	Rccd1_predicted
ILMN_1353187	0.943582213650473	0.808096493322558	0.245720836275657	-6.67505786003258	0.00881995913677702	7.45200598750195	LOC299821
ILMN_1362715	0.942744459869817	0.805598229634102	-0.248989034086967	-6.67506814201043	-0.0130989702408408	7.74938940148242	RGD1560995_predicted
ILMN_1363636	0.975766929555253	0.913649047121238	-0.109646396745963	-6.67511777573916	-0.00397150708985183	7.8212468996875	Ugt1a8
ILMN_1351004	0.941552763738472	0.802219843543989	0.253413012005706	-6.67513261417231	0.0123137374919606	7.46348350841016	Zbtb25
ILMN_1357377	0.937321723921782	0.790310946781147	-0.269049557321462	-6.67521978935066	-0.012383689424377	7.50085326347656	LOC498740
ILMN_1350338	0.922047467983361	0.750517081673798	0.321824750294169	-6.67523714237394	0.0166631530735852	7.63050918817969	Gc
ILMN_1357789	0.941917638813879	0.802990746475394	0.252403067396234	-6.6752397472043	0.00898495629481744	7.46527699254492	RGD1566035_predicted
ILMN_1650026	0.945366274038544	0.813841070134114	-0.2382161415497	-6.67525979086123	-0.00878309080581285	7.41907261761328	Pcdha10
ILMN_1357061	0.92681906714473	0.76399388823788	0.303854729163412	-6.675271389272	0.0149751641809495	7.56513150629297	RGD1564727_predicted
ILMN_1360877	0.972021199372973	0.901330317848624	0.125368809369782	-6.6753393782938	0.00560035323524222	7.81717287402734	E2f1
