,281-Control,280-Control,255-Control,288-Control,256-MI,276-MI,253-MI,275-MI
Prkag2,218,109,101,70,109,74,87,73
Rheb,6472,3959,3435,1999,4074,2672,4460,3047
Crygn,0,0,0,0,0,0,0,0
Wdr86,1,0,0,1,0,1,1,0
Nub1,1166,776,653,419,838,400,658,614
Smarcd3,951,625,600,316,604,305,662,506
Chpf2,108,64,57,32,71,40,31,52
Mir671,0,0,0,0,0,0,0,0
Abcf2,2429,1548,1249,669,1360,606,1224,1088
LOC499971,0,0,0,0,1,0,0,0
Asb10,2172,1235,1356,738,1608,724,1461,1155
Gbx1,0,0,0,0,1,0,0,0
Agap3,235,156,142,77,148,58,91,105
Tmub1,520,332,280,155,320,179,305,261
Fastk,4178,2695,2047,1538,2773,1224,2247,2000
Slc4a2,174,74,63,55,82,38,60,68
Cdk5,386,262,199,113,260,122,218,157
Asic3,1,2,0,0,0,1,0,0
Abcb8,504,308,238,177,290,134,215,240
Atg9b,1,0,0,0,0,0,0,0
Nos3,283,126,138,70,163,72,106,81
Kcnh2,7,1,3,3,3,2,1,6
Nupl2,272,203,216,87,230,144,215,157
Klhl7,5618,3432,3037,1744,3528,1709,3081,2592
LOC100364673,60,22,28,27,26,14,24,27
Fam126a,194,127,73,48,108,52,117,111
Tomm7,586,376,320,213,376,202,465,270
Pus7,372,275,196,157,281,104,180,161
Srpk2,1571,974,961,504,1064,565,1064,654
Mll5,2762,1374,1298,826,1617,838,1358,918
Orc5,1045,656,623,371,774,346,776,422
Reln,511,297,147,153,113,36,176,107
Slc26a5,0,0,0,0,0,0,0,0
Psmc2,6961,4823,4084,2524,4720,2752,4794,3608
Dnajc2,3859,2454,2083,1127,2432,1452,2178,1709
Pmpcb,3741,2558,2728,1529,3225,1734,2963,2294
Napepld,65,33,63,23,49,15,29,37
Armc10,431,268,266,132,296,168,277,201
Fbxl13,4,4,5,2,4,1,6,6
Lrrc17,43,37,25,30,22,30,33,27
Fam185a,123,79,51,42,82,45,83,45
Ccdc146,12,3,7,13,22,4,12,26
Fgl2,1484,630,629,380,827,724,598,720
Pion,331,119,180,89,183,118,185,108
Ptpn12,599,379,297,151,372,209,402,231
Rsbn1l,206,131,134,56,153,73,176,119
Tmem60,1502,1029,878,488,1076,619,1147,883
Phtf2,5544,4397,3502,2530,4278,2364,4702,2892
Magi2,18,8,8,3,8,7,5,3
Gnai1,37,9,13,9,14,19,10,11
Olr987,0,0,0,0,0,0,0,0
Olr917,0,0,0,0,0,0,0,0
Gnat3,7,11,8,6,11,5,11,10
Cd36,16969,9497,10764,4196,14328,8996,9056,7310
RGD1565355,4,1,0,1,2,0,0,1
Sema3c,2150,1548,1244,926,1268,915,1743,1042
Hgf,20,7,7,1,14,13,10,4
Cacna2d1,6493,4377,3479,2045,3941,2462,3821,3479
Pclo,9,8,5,3,6,3,11,4
Sema3e,39,29,21,19,11,20,26,20
Sema3a,84,79,20,15,28,9,67,18
Sema3d,103,58,43,57,53,28,59,50
Grm3,0,0,0,0,0,0,0,0
RGD1563349,11,1,3,7,4,2,7,1
Mir879,0,0,0,0,0,0,0,0
Dmtf1,537,369,302,196,369,223,427,282
Tmem243,106,40,56,25,52,35,47,33
Crot,2511,1277,2037,657,1405,536,927,765
Abcb4,340,211,173,98,377,125,147,157
Abcb1b,18,9,8,7,5,9,12,7
Abcb1a,15,18,5,2,16,6,23,5
Rundc3b,5,1,6,2,0,1,2,1
Slc25a40,176,97,105,59,115,57,148,96
Dbf4,8,4,6,3,5,1,4,3
Sri,758,395,332,243,488,286,388,299
Steap4,2232,1458,1115,668,1597,1098,1499,1206
RGD1564345,1,0,0,1,3,1,6,1
Steap1,12,3,2,5,3,6,11,1
Steap2,48,17,15,13,22,13,17,14
Gtpbp10,1072,623,536,270,669,330,679,478
Cldn12,1174,562,562,290,687,305,610,520
Cdk14,363,240,196,162,297,177,233,182
Fzd1,167,88,95,47,83,70,103,66
Cyp51,853,576,473,218,520,204,375,295
Akap9,6324,4325,3599,2153,4539,2327,5019,3168
Mterf,311,195,173,101,229,122,234,143
Krit1,1704,1122,890,548,1202,585,1116,759
Ankib1,425,290,261,141,308,184,295,207
RGD1306626,1,0,2,0,0,0,0,0
Pex1,549,288,266,142,321,151,271,183
Rbm48,243,172,174,89,172,120,192,100
Fam133b,438,292,270,119,250,155,332,228
