,281-Control,280-Control,255-Control,288-Control,256-MI,276-MI,253-MI,275-MI
Rsl24d1,2740,1773,1774,1029,1854,1102,2149,1446
Khdc3,1,0,0,0,0,0,0,0
Rab27a,972,644,879,331,690,417,523,444
Pigb,64,31,49,35,45,25,38,32
Ccpg1,8695,5644,5554,2473,6114,2992,5076,3870
Mir628,16,6,7,7,7,6,4,6
LOC691849,143,102,85,49,86,51,109,87
Dyx1c1,21,6,2,1,11,6,8,5
Pygo1,23,15,16,11,19,4,28,21
Prtg,0,0,1,0,1,1,2,2
Nedd4,28536,19635,14906,8968,18156,9585,18465,14655
Rfx7,1780,1148,1193,576,1290,747,1283,780
Mns1,27,19,25,24,29,35,26,23
Zfp280d,1704,1144,987,486,1136,657,1058,773
Tcf12,266,167,143,100,204,95,163,104
Cgnl1,319,220,138,108,144,81,155,129
Gcom1,162,81,78,65,35,32,61,47
Polr2m,497,257,247,102,415,129,276,202
Aldh1a2,445,275,248,240,221,234,409,205
Aqp9,3,1,0,1,4,3,0,0
Lipc,1,0,0,0,0,0,0,0
Adam10,790,442,362,214,438,308,419,341
Rnf111,812,472,485,263,533,318,586,321
Myo1e,384,234,191,102,204,114,178,156
Fam81a,13,5,12,7,8,8,1,3
Gcnt3,1,1,1,0,0,0,0,2
Gtf2a2,1095,648,584,309,698,440,893,584
Bnip2,1336,889,702,399,917,476,811,664
Aph1b,404,230,160,98,213,118,233,133
Rab8b,526,279,218,116,241,161,309,216
Rps27l,661,511,415,245,524,283,634,402
Lactb,281,160,131,81,181,112,141,116
Tpm1,263868,214588,147400,75888,132233,83799,161576,154312
Mir190,0,0,0,0,0,0,0,0
Rora,1454,987,779,522,800,435,948,808
Narg2,268,147,147,83,204,82,180,142
Anxa2,2214,1488,1120,1025,1194,1187,1723,1065
Foxb1,0,0,0,0,0,0,0,0
Wdr72,0,1,0,0,1,4,6,1
Onecut1,0,0,0,0,1,0,1,1
Fam214a,1472,764,820,358,883,654,835,575
Arpp19,176,122,93,51,136,69,129,93
Myo5a,407,204,156,105,219,117,190,140
Gnb5,315,198,171,101,176,77,143,118
Bcl2l10,0,0,0,0,0,0,0,0
Mapk6,3316,2363,1655,1004,2070,1007,1803,1559
Leo1,890,521,436,311,511,239,404,344
Tmod3,1375,901,798,459,981,577,936,619
Tmod2,140,109,66,45,91,53,84,72
Lysmd2,522,262,230,133,371,157,288,218
Scg3,4,1,2,1,1,2,3,1
Bmp5,215,146,74,37,110,71,129,97
Hmgcll1,76,51,32,22,39,27,62,34
Gfral,0,0,0,0,0,0,4,0
Hcrtr2,2,0,2,0,0,0,0,0
Fam83b,25,11,10,3,15,6,14,7
Tinag,10,1,4,0,1,1,8,3
Lrrc1,28,16,17,13,15,12,18,13
Klhl31,15184,11621,10329,5079,10430,5638,12326,7651
Gclc,355,178,161,136,175,157,254,129
Elovl5,540,345,249,237,248,214,298,212
Gcm1,0,0,0,0,2,0,1,0
Fbxo9,1614,731,694,334,1058,405,844,621
Ick,605,359,390,281,602,296,477,331
Gsta4,430,303,345,187,334,238,398,203
Gsta2,0,0,0,0,0,0,0,0
Gsta5,1,0,0,0,1,0,0,0
Mto1,1465,818,817,342,883,428,635,606
Eef1a1,4210,2137,2141,1246,2147,1701,2600,1755
Slc17a5,153,75,72,64,77,48,91,48
LOC367117,0,1,0,0,0,0,1,1
LOC100363289,42,16,33,16,19,14,23,15
Cox7a2,2572,1513,1539,836,1806,1024,1985,1322
Tmem30a,2122,1303,1037,605,1451,720,1291,1082
Filip1,3571,2149,1762,1012,2416,1124,1752,1366
Senp6,1850,1205,984,498,1176,663,1179,819
Impg1,1,0,0,1,0,1,1,0
Htr1b,7,3,3,1,2,2,4,0
Mei4,0,0,0,0,0,0,0,0
Irak1bp1,261,142,155,75,152,92,176,129
Hmgn3,3892,2916,2668,1459,2812,1898,4310,2240
Lca5,27,19,13,5,33,3,23,7
Sh3bgrl2,9,10,12,3,9,7,5,5
Elovl4,14,10,12,2,14,8,5,3
Ttk,13,3,4,0,12,2,2,1
Bckdhb,2335,883,975,437,2066,432,908,940
Fam46a,105,66,44,46,52,57,64,38
Tpbg,19,8,7,8,8,11,4,1
Ube2cbp,124,109,55,36,107,58,79,43
Pgm3,186,88,107,52,126,89,122,94
Rwdd2a,11,5,3,3,2,5,9,5
Me1,4199,3278,2318,1275,2708,1527,3132,2406
Prss35,3,1,3,0,1,4,0,1
Snap91,0,1,2,0,1,3,0,1
Cyb5r4,1926,1357,1086,600,1322,753,1181,951
Mrap2,2,0,1,0,0,0,0,1
Tbx18,72,34,57,25,43,54,113,36
Nt5e,951,511,379,244,486,309,460,254
Snx14,978,595,637,255,660,446,732,488
Syncrip,850,523,406,219,531,273,494,380
Zfp949,176,113,104,48,127,49,100,91
Trim43a,4,4,2,0,2,1,1,1
Bcl2a1,77,34,20,17,26,18,40,25
Mthfs,1035,671,448,335,677,285,538,448
Tmed3,335,187,187,128,165,159,243,157
Ankrd34c,0,0,0,0,0,0,0,0
Mir184,0,0,0,0,0,0,0,0
Rasgrf1,9,5,9,9,6,3,14,5
Ctsh,3048,1950,1601,1177,1920,1296,2283,1523
Adamts7,28,14,11,10,8,7,11,7
Tbc1d2b,447,244,186,149,215,139,242,151
Zic1,0,1,0,0,0,0,0,0
Zic4,0,0,0,0,1,1,1,2
Plscr5,0,0,0,0,0,0,0,0
Plscr1,174,87,49,38,62,61,79,45
Plscr2,361,236,218,89,232,150,325,176
Plscr4,763,521,465,263,559,444,564,396
Plod2,665,513,375,289,454,327,498,330
RGD1309079,503,268,215,157,251,187,321,184
Slc9a9,226,86,65,38,65,65,91,57
Paqr9,72,33,61,34,39,30,42,42
LOC501038,8,6,3,1,3,3,5,6
PCOLCE2,657,178,301,182,252,173,300,168
Trpc1,228,147,136,84,188,99,233,64
Pls1,20,10,9,2,5,15,5,5
Tfdp2,771,423,325,199,381,191,355,260
Atp1b3,2038,713,1002,647,1345,584,1145,875
Rnf7,889,577,461,282,556,259,584,488
Rasa2,228,131,140,70,139,82,139,103
Zbtb38,1164,699,523,264,853,379,615,532
Acpl2,199,144,98,76,148,96,135,110
Spsb4,251,136,115,90,193,64,115,102
Trim42,0,0,0,0,0,0,0,0
Clstn2,0,1,1,1,1,1,0,0
Nmnat3,1064,845,596,328,595,358,703,586
Rbp1,255,118,106,97,81,103,187,122
Rbp2,0,0,1,0,0,2,0,0
Copb2,1678,1124,967,559,1024,620,896,778
LOC683519,1860,1190,1072,743,1390,813,1549,980
Faim,0,0,0,0,0,0,0,0
Cxadrl1,0,0,0,0,0,0,0,0
Pik3cb,17,8,7,6,9,14,12,13
Cep70,125,77,85,72,116,45,117,76
Mras,203,104,70,66,83,41,118,70
Armc8,3451,2250,2057,1104,2340,1252,2191,1622
Dbr1,636,396,357,217,412,218,388,257
Dzip1l,37,27,12,9,11,17,11,13
Cldn18,0,0,0,0,0,0,0,0
Sox14,2,4,0,0,0,1,2,0
Il20rb,41,37,16,12,11,6,27,10
Nck1,1594,962,859,471,1015,636,1142,700
Slc35g2,17,8,9,9,11,4,10,5
Stag1,1147,680,582,342,737,418,798,586
Pccb,7091,4498,4204,2495,4721,2373,4019,3344
Ppp2r3a,9947,8062,5824,3797,7927,3938,7563,6006
Ephb1,44,17,16,12,9,11,31,12
Ky,2765,1619,2564,1181,3285,1955,1908,2894
Cep63,756,476,423,251,473,276,365,377
Anapc13,573,340,322,228,388,232,463,319
Amotl2,598,323,307,184,259,174,361,259
Ryk,672,531,391,198,441,245,494,366
Slco2a1,35,21,15,27,12,26,16,19
Rab6b,39,28,29,23,34,13,31,14
Srprb,1802,1060,1013,553,1069,501,1115,784
Tf,3586,1669,1359,913,957,1131,557,823
RGD1310507,264,236,174,142,79,128,253,98
Cdv3,195,128,88,35,152,59,46,104
Nphp3,280,174,177,77,177,94,145,172
Uba5,558,181,312,195,433,130,381,327
Acad11,1542,850,751,289,668,460,479,549
Acpp,2,0,0,0,0,0,0,1
Cpne4,21,2,6,1,1,14,9,1
Mrpl3,5451,3487,3173,1840,4018,2005,3311,2672
Nudt16,305,178,144,102,177,101,134,150
LOC688828,0,0,0,0,0,0,0,0
Nek11,21,10,4,2,3,5,6,7
Aste1,32,14,19,10,22,11,17,12
Atp2c1,1966,1649,1254,666,1588,896,2042,1341
Pik3r4,407,209,193,137,234,133,232,156
Col6a4p1,4,1,1,2,2,1,1,1
Glyctk,137,95,85,36,90,30,50,63
LOC684352,14948,10053,8137,5283,14601,6003,7180,7795
Tlr9,9,2,1,2,3,3,2,2
Alas1,8372,4751,4383,2474,5721,2598,4449,3322
Poc1a,15,10,4,5,7,5,12,4
Dusp7,478,161,199,88,175,91,144,81
Rpl29,749,489,370,252,445,268,541,373
Acy1,794,436,428,253,411,221,411,347
Abhd14a,513,237,261,153,326,139,289,215
Abhd14b,856,523,471,268,514,299,534,399
Pcbp4,797,397,261,219,378,141,164,279
Parp3,1453,839,699,416,828,313,643,535
Rrp9,227,134,104,73,151,82,102,99
Iqcf1,0,0,0,0,0,0,0,0
Iqcf5,0,0,0,0,0,0,0,0
Iqcf3,0,0,0,0,0,0,0,0
Iqcf6,0,0,0,0,0,0,0,0
Grm2,0,0,0,0,0,0,0,0
Tex264,359,206,178,92,241,123,205,196
Rad54l2,139,66,48,42,79,40,65,62
Vprbp,503,345,272,177,382,156,244,238
Manf,217,115,123,80,149,74,167,110
Mapkapk3,1194,888,647,408,802,340,487,595
Cish,154,576,59,240,1177,34,738,217
Hemk1,294,190,154,96,184,82,196,148
RGD1307461,1170,1068,722,558,763,250,944,851
Cacna2d2,0,2,0,1,0,0,1,2
Tmem115,365,233,215,144,254,90,149,162
Cyb561d2,220,95,99,61,126,48,84,82
Nprl2,655,422,411,216,463,250,469,323
Zmynd10,64,39,40,23,50,20,36,30
Rassf1,590,372,261,163,340,148,261,223
Tusc2,523,202,220,129,378,126,251,185
Hyal2,1057,558,448,321,532,234,458,324
Hyal1,511,352,193,160,312,85,151,227
Hyal3,214,134,125,69,121,64,86,76
Ifrd2,2297,1394,1107,724,1302,591,866,793
Sema3b,120,78,54,49,76,36,52,31
Gnai2,1298,582,588,373,740,413,768,477
Slc38a3,2219,1265,999,606,1192,546,717,731
Gnat1,14,7,3,4,6,0,2,11
Sema3f,202,139,108,71,73,41,91,65
Rbm5,3424,2222,1837,1102,2093,1128,2257,1486
Rbm6,1450,888,660,375,902,406,650,567
Mon1a,382,202,151,105,193,90,111,130
Mst1r,17,13,6,8,1,5,12,4
Actl11,0,0,0,0,0,0,0,0
Camkv,0,0,1,0,0,1,0,0
Traip,4,1,4,3,4,5,3,0
Uba7,79,52,33,14,57,27,50,34
Fam212a,103,76,60,25,53,22,45,51
Ip6k1,45,19,27,16,26,14,21,20
Gmppb,128,57,65,44,72,42,53,43
Rnf123,1705,992,772,503,987,416,671,786
Amigo3,13,12,12,8,11,4,13,7
Mst1,16,7,3,6,8,9,3,9
Apeh,637,370,384,238,439,234,354,292
Bsn,0,0,1,0,1,0,6,2
Dag1,3421,1914,1774,1153,2061,1065,1931,1504
Nicn1,1267,786,748,434,895,487,847,558
Amt,103,53,44,27,44,21,44,43
Tcta,4742,2980,2537,1334,3708,1732,2479,1992
Rhoa,3932,2730,2264,1405,2928,1464,2530,1613
Gpx1,21952,12022,12683,9860,16129,10458,19906,11768
Usp4,6567,4709,3581,1979,4221,1793,3217,3204
LOC498675,7,2,2,0,1,0,2,4
LOC680045,1,1,0,1,1,0,2,4
Klhdc8b,109,84,59,60,79,22,58,56
Ccdc71,127,76,76,48,91,43,70,74
Lamb2,2449,1356,1120,950,1444,617,958,1074
Usp19,730,386,290,190,408,140,258,293
Qars,2694,1804,1553,905,1807,800,1561,1381
Qrich1,688,367,367,225,394,218,362,238
Impdh2,2491,1740,1424,821,1674,949,1669,1189
Ndufaf3,2613,1593,1481,846,1840,935,1884,1379
Mir3555,0,0,0,0,0,0,0,0
Mir191,0,0,0,0,0,0,0,0
Mir425,0,0,0,1,1,0,0,0
Dalrd3,176,119,71,48,85,46,82,74
Wdr6,536,362,237,168,276,125,195,254
Arih2,3414,2214,1760,1019,2174,1048,1671,1593
Slc25a20,17672,9463,10339,5348,12237,6753,8818,8241
Prkar2a,371,257,204,100,237,107,227,163
Ip6k2,396,233,175,96,212,117,180,155
Nckipsd,234,134,148,86,145,84,98,92
Celsr3,19,14,7,3,9,5,9,6
Slc26a6,269,151,160,98,252,75,170,121
Tmem89,1,0,0,0,0,0,0,1
Uqcrc1,39265,23814,21620,13381,28772,12843,19359,19312
Col7a1,175,102,29,9,30,32,13,44
Mir711,0,0,0,0,0,0,0,0
Ucn2,3,3,1,0,0,0,1,2
Pfkfb4,268,114,69,39,103,27,52,56
Shisa5,1071,510,450,310,461,388,563,404
Trex1,254,134,132,65,176,82,127,126
Atrip,89,52,61,40,66,20,65,46
Tma7,0,0,0,0,0,0,0,0
Ccdc51,535,323,320,187,390,195,346,257
Spink8,133,98,49,24,96,51,33,64
Nme6,843,679,623,354,736,352,758,467
Camp,3,0,0,0,1,0,0,1
Cdc25a,470,287,278,146,325,131,198,178
Map4,16545,12231,7742,4866,11432,4623,7508,7470
Dhx30,1120,524,485,306,585,222,417,372
Smarcc1,822,512,421,225,480,230,381,394
Cspg5,13,4,9,1,4,1,1,3
Elp6,244,146,145,80,182,93,154,118
Scap,411,227,165,111,261,79,157,129
Ptpn23,111,71,48,32,59,36,55,51
Ngp,1,2,2,4,0,1,1,1
Kif9,2,4,3,5,6,2,3,2
Setd2,2586,1492,1324,608,1631,842,1408,1129
Nradd,23,15,8,13,24,15,11,22
Ccdc12,632,332,345,204,397,203,431,282
Pth1r,12,11,8,4,8,6,9,11
Myl3,69637,42943,47823,31132,55746,31313,52492,39158
Prss42,1,1,0,0,0,0,1,0
Prss44,0,0,0,0,0,0,0,0
Prss45,0,0,0,0,0,0,0,0
Prss46,49,23,21,2,4,12,1,23
Tmie,65,53,45,29,62,32,30,36
Lrrc2,3806,3422,2459,1573,3792,1630,2386,1370
Rtp3,3,3,1,2,7,3,6,2
Ltf,0,0,1,0,0,0,0,0
Ccrl2,159,105,51,37,108,45,84,59
Lrrfip2,783,417,451,300,587,194,425,357
Mlh1,898,543,505,347,765,264,594,295
Epm2aip1,2214,1420,1335,695,1531,897,1582,1180
Trank1,4,3,0,0,1,1,2,0
Dclk3,15,19,14,5,21,8,12,13
Arpp21,1755,953,1135,571,1140,532,1246,699
Pdcd6ip,3107,1578,1482,879,1845,908,1581,1401
Clasp2,3080,1884,1908,1014,2182,1174,2348,1483
Ubp1,323,196,183,92,182,97,199,133
Crtap,0,0,0,0,0,0,0,0
Glb1,429,210,181,131,194,104,176,155
Ccr4,11,1,0,0,1,0,0,0
Trim71,0,0,0,0,0,0,0,0
Cnot10,861,521,435,297,545,245,472,382
Dync1li1,918,684,439,267,605,237,299,394
Cmtm6,52,31,36,23,29,22,43,36
Cmtm7,381,84,114,112,128,68,154,140
Cmtm8,177,58,98,38,82,41,67,65
Gpd1l,548,396,289,201,333,156,267,273
Stt3b,731,503,407,220,511,273,426,336
Tgfbr2,197,75,56,81,66,60,68,64
Azi2,1153,492,586,318,771,286,598,440
Cmc1,428,202,181,172,218,143,320,173
Ctdspl,237,103,135,76,123,73,133,93
Golga4,10704,7100,5047,2427,7210,2899,4288,4422
Mir26a,0,0,0,0,0,0,1,0
Vill,5,10,5,4,0,2,6,1
Plcd1,725,333,389,270,488,207,289,291
Slc22a14,0,2,1,0,0,0,0,0
Slc22a13,0,0,1,1,0,2,3,0
Oxsr1,1983,1191,1114,539,1267,578,1045,897
Myd88,450,217,196,146,233,149,222,164
Acaa1a,21,7,10,8,9,10,7,16
Acaa1b,0,0,0,0,0,0,0,0
Xylb,91,50,30,29,57,21,27,28
Acvr2b,125,95,75,64,82,41,139,82
Exog,82,57,81,39,58,38,77,46
Scn5a,14,4,4,7,2,4,2,5
Scn10a,1,0,0,0,0,0,0,0
Scn11a,0,0,0,0,0,0,0,0
Wdr48,520,384,290,162,310,159,305,247
Gorasp1,475,276,222,141,293,140,189,212
Csrnp1,92,97,32,26,50,20,21,35
Cx3cr1,12,2,4,2,5,1,1,3
Slc25a38,465,131,160,80,249,71,127,135
Rpsa,2759,1893,1657,1028,1867,1134,2023,1556
Mobp,0,0,0,0,0,0,0,0
Myrip,66,35,44,15,35,13,15,17
Eif1b,1327,760,802,440,888,517,1010,651
Entpd3,10,2,2,4,0,1,3,1
Rpl14,3751,2209,1961,1269,2239,1306,2168,1835
Ctnnb1,1114,702,698,385,817,439,759,583
Trak1,3178,1704,1463,924,1868,808,1297,1299
Cck,0,0,0,0,1,1,2,0
Lyzl4,0,0,0,0,0,0,0,0
Vipr1,22,15,8,3,18,3,10,10
Klhl40,2942,3852,1855,1500,2336,852,1869,1589
Hhatl,6084,4657,3922,2489,4344,1886,3887,3734
Higd1a,2114,1126,1073,688,1447,743,1225,951
Ccbp2,71,31,14,30,15,7,40,13
Cyp8b1,3,0,1,0,1,0,0,1
Gtdc2,170,76,96,45,105,41,56,101
Snrk,273,132,105,70,166,80,86,98
Abhd5,636,366,332,177,388,194,355,293
Mir138-1,0,0,0,0,0,0,0,0
Tcaim,3601,2531,1948,1174,2508,1227,2517,1816
Zfp445,1402,867,788,449,974,514,905,654
Zfp167,320,151,156,104,214,116,190,151
Zfp105,711,438,395,245,493,289,432,316
LOC367195,7,7,3,1,3,3,4,2
RGD1311745,298,135,190,101,218,142,209,143
Kif15,18,12,16,7,20,12,10,15
Tmem42,330,230,226,123,234,143,286,209
Tgm4,91,64,62,34,50,41,69,42
Zdhhc3,584,207,301,167,371,160,283,256
Exosc7,585,395,314,201,352,203,438,297
Cdcp1,1,0,1,1,0,1,2,0
Tmem158,0,0,0,0,0,0,0,0
Lars2,456,330,178,145,220,124,258,204
Limd1,938,465,401,312,510,260,492,398
Sacm1l,2061,1288,1178,646,1523,793,1278,959
Slc6a20,9,9,9,1,2,5,7,1
Lztfl1,403,293,279,139,281,189,333,260
Ccr9,0,0,0,0,0,2,1,0
Fyco1,5270,3360,2781,1717,3398,1681,3140,2643
Cxcr6,49,12,10,5,14,4,9,19
Xcr1,60,25,15,12,19,6,36,27
Ccr1,94,52,29,23,30,30,56,25
Ccr3,4,0,0,0,4,0,1,0
Ccr1l1,6,0,0,0,0,1,0,1
Ccr5,215,73,52,25,71,43,75,66
Efhb,1,0,0,0,0,1,2,1
Tbc1d5,733,421,340,224,455,185,406,331
Plcl2,746,598,483,240,507,245,533,370
Satb1,2908,1638,1360,826,1645,710,1164,1160
Sult1c2a,0,0,0,0,0,0,0,0
LOC301165,0,0,0,0,0,0,0,0
Sult1c2,0,0,0,0,0,0,0,0
Sult1c3,0,0,0,0,0,0,0,0
Slc5a7,1,0,0,0,0,1,0,0
St6gal2,0,1,0,0,0,0,0,0
Vom2r76,0,0,0,0,0,0,0,0
Vom2r77,1,0,2,0,5,0,1,3
Emr4,43,14,18,4,17,15,16,8
MGC116197,15,9,11,4,10,5,16,11
Vom2r79,0,0,0,0,0,0,0,0
Emr1,253,102,70,39,76,86,76,74
Vav1,41,15,7,3,14,7,6,6
Trip10,4912,2968,2242,1452,2607,1080,1946,2067
Gpr108,671,387,322,221,404,182,302,284
C3,1337,414,327,324,139,265,679,130
Tnfsf14,0,0,1,0,0,0,1,2
Cd70,0,0,2,1,0,0,0,0
Brcc3,1588,1039,901,473,1121,506,885,723
Tnfsf9,17,3,8,8,10,3,7,7
Tubb4a,9,10,12,3,14,8,15,14
Dennd1c,77,32,16,15,43,16,23,16
Crb3,84,50,44,27,53,16,37,35
Slc25a23,369,226,185,108,198,102,240,177
Slc25a41,0,0,0,0,1,0,2,0
Khsrp,277,149,181,102,162,99,183,126
Gtf2f1,419,228,220,160,240,128,199,170
Pspn,8,1,3,2,3,1,1,1
Alkbh7,633,366,373,216,440,265,437,327
Acer1,0,1,0,0,0,0,0,0
Mllt1,255,172,132,106,174,87,154,117
LOC316124,4,0,0,1,0,1,4,1
Acsbg2,2,0,0,0,0,0,0,0
Rfx2,174,157,86,161,129,25,138,144
Prr22,11,9,4,7,7,6,0,3
Dus3l,491,319,268,195,295,117,207,237
Nrtn,7,2,7,0,3,1,1,2
Ndufa11,2257,1426,1433,763,1621,880,1857,1321
Vmac,9,3,1,2,3,0,0,3
Catsperd,9,4,6,2,2,0,11,3
Lonp1,1022,585,482,323,642,313,555,447
Rpl36,521,292,257,167,297,178,352,237
LOC301124,1575,1005,953,535,1024,573,1168,831
Safb,464,209,205,147,250,115,177,173
Znrf4,0,0,0,0,0,0,0,0
Ptprs,756,365,359,178,382,170,194,247
Kdm4b,495,220,179,109,199,92,126,133
Uhrf1,25,9,9,5,7,3,5,5
Arrdc5,13,7,16,8,8,8,5,5
Fem1a,12882,6409,5570,3684,7005,3028,4981,4388
Mir7b,0,0,0,0,0,0,0,0
Sema6b,47,20,19,6,21,4,12,4
Lrg1,873,387,326,176,330,138,243,229
Plin5,2507,702,897,430,1117,372,479,537
Hdgfrp2,296,250,194,107,247,76,135,176
Ubxn6,1287,489,553,395,792,296,479,575
Sh3gl1,969,592,434,325,574,322,418,402
Mpnd,265,97,115,82,125,62,115,109
Stap2,107,45,56,43,47,28,64,42
Fsd1,0,1,0,0,0,1,0,0
Shd,108,56,55,43,77,28,40,39
Ccdc94,479,273,239,137,282,143,249,184
Ebi3,16,6,3,2,5,5,4,8
Uxs1,1221,819,702,436,890,396,718,597
Dazl,0,0,0,0,0,0,0,0
Rftn1,479,296,195,186,277,132,256,190
Mocs1,291,138,149,104,121,83,90,125
Lrfn2,0,0,0,0,0,0,0,0
Unc5cl,6,3,2,3,3,1,3,1
Apobec2,15434,10085,9228,10803,10066,4025,17415,7176
RGD1308299,764,486,407,266,465,257,533,391
Nfya,94,48,41,33,38,9,45,34
Treml1,0,1,1,1,4,34,0,21
Trem2,54,36,23,12,29,15,34,31
Trem3,3,2,1,0,4,6,1,1
Trem1,42,6,3,3,4,15,6,6
RGD1565959,0,0,0,0,0,0,0,0
Foxp4,23,6,15,6,15,4,17,2
Mdfi,8,6,2,1,3,1,1,1
Tfeb,680,337,261,232,362,109,150,249
Pgc,13,6,3,1,0,0,7,4
Frs3,47,27,18,13,27,14,16,15
Usp49,82,32,26,20,59,17,47,21
Med20,953,587,507,344,663,322,639,450
Bysl,442,267,247,168,308,113,186,218
Ccnd3,501,226,245,156,328,142,185,227
Taf8,513,324,245,163,283,133,193,203
Guca1a,0,0,0,0,0,0,0,0
Guca1b,3,4,2,2,2,2,5,4
Mrps10,109,76,60,186,388,32,362,46
Trerf1,50,30,22,18,28,14,17,9
Ubr2,1749,906,856,481,1103,485,871,736
Prph2,0,0,0,0,0,0,0,1
Tbcc,208,86,103,77,149,51,102,105
Gltscr1l,223,87,79,61,102,54,91,88
Cnpy3,200,91,89,63,111,56,60,70
Gnmt,24,0,7,1,8,1,2,4
Pex6,48,34,18,14,28,23,18,20
Mea1,1639,941,1089,642,1029,528,1047,795
Klhdc3,4267,2646,2696,1496,2587,1589,2169,2256
Mrpl2,377,247,220,118,238,137,222,174
Klc4,699,409,347,227,386,140,277,283
Ptk7,33,10,15,11,12,12,19,4
Srf,530,275,265,186,305,141,294,218
Cul9,238,94,81,57,90,32,36,61
Dmrtc2,0,0,0,0,0,0,0,0
Dnph1,85,45,32,15,39,28,41,34
Ttbk1,0,0,0,0,0,0,0,0
Slc22a7,0,0,1,0,0,0,0,0
Crip3,0,0,0,0,0,1,0,0
Abcc10,74,43,35,32,38,12,29,35
Dlk2,0,0,0,0,0,0,0,0
Tjap1,629,429,265,186,392,172,237,266
Lrrc73,3,5,4,3,4,2,3,4
Yipf3,855,544,477,294,518,279,520,366
Polr1c,597,329,311,162,370,194,347,248
Xpo5,416,241,174,106,252,127,214,178
Polh,158,71,63,40,60,38,64,45
Gtpbp2,244,128,116,61,130,68,121,97
Mad2l1bp,216,123,128,80,142,74,140,88
Rsph9,22,8,9,6,8,2,9,6
Mrps18a,1923,1042,963,559,1260,665,1231,902
Vegfa,3509,1777,1906,942,2212,1465,2158,1429
Mrpl14,2106,1195,1342,831,1544,830,1858,1196
Capn11,0,0,0,2,0,1,0,0
Slc29a1,1770,1063,956,546,1227,646,914,785
Hsp90ab1,44827,28060,23341,13551,27331,14380,27720,20754
Slc35b2,343,199,196,116,218,116,197,171
Nfkbie,89,43,26,19,39,21,30,30
Tmem151b,0,0,0,0,0,0,0,1
Tcte1,19,1,2,0,11,1,3,4
Aars2,266,93,104,70,120,37,56,73
Spats1,18,6,2,9,11,4,5,6
Cdc5l,1981,1228,1303,691,1293,747,1465,923
LOC685722,0,0,0,0,0,1,0,0
Runx2,22,7,5,6,27,14,9,12
Clic5,3107,2038,1908,1616,3052,1426,1750,1205
Enpp4,1276,651,706,321,689,434,709,568
Enpp5,202,139,72,58,116,66,137,79
Rcan2,6197,2839,3296,2410,4197,1737,4343,2569
Cyp39a1,109,40,39,28,46,33,48,41
Slc25a27,81,28,24,15,22,13,26,32
Tdrd6,0,0,0,0,0,0,0,0
Pla2g7,822,581,369,293,1324,328,747,448
Mep1a,0,0,0,0,0,0,0,0
Gpr116,2073,1260,1136,478,1308,599,983,748
Tnfrsf21,1000,653,487,347,681,317,589,437
Cd2ap,256,152,124,81,160,119,180,106
Opn5,0,0,0,0,0,0,0,0
Cenpq,66,53,52,23,52,43,65,55
Glyatl3,0,0,0,0,0,0,0,0
LOC688459,8,0,3,2,0,0,1,0
Rhag,0,0,0,2,1,18,1,5
Crisp2,0,0,0,0,0,0,0,0
Crisp1,0,0,0,0,0,0,0,0
Pgk2,0,0,0,0,0,0,0,0
Crisp4,0,0,0,0,0,0,0,0
Defb49,0,0,0,0,0,0,0,0
Defb18,0,0,0,0,0,0,0,0
Defb16-ps,0,0,0,0,0,0,0,0
Defb17,0,0,0,0,0,0,0,0
Tfap2d,0,0,0,0,0,0,0,0
Tfap2b,1,3,4,0,0,0,0,0
Mir206,0,0,0,0,0,1,0,0
Mir133b,20,29,24,8,28,11,39,15
Il17a,0,0,0,0,0,0,0,0
Il17f,0,0,0,0,0,0,0,0
Mcm3,47,11,19,7,12,14,11,13
Paqr8,28,17,17,9,15,5,21,8
Efhc1,29,21,16,14,17,11,22,16
Tmem14a,14,10,12,4,11,6,23,9
Gsta3,3301,2382,1242,1296,2642,1795,3347,2606
LOC501110,395,237,202,85,261,217,264,217
Kcnq5,503,266,225,110,247,118,228,208
Rims1,2,3,0,0,2,0,0,1
RGD1309049,0,0,0,0,0,0,0,0
Mir30a,1,0,0,1,2,0,0,1
Mir30c-2,13,5,4,4,1,2,5,5
Ogfrl1,170,102,86,42,101,56,126,56
B3gat2,4,1,2,1,2,0,1,0
Fam135a,1778,1257,1056,569,1404,708,1178,946
Col9a1,2,6,0,0,3,1,0,0
Lmbrd1,2951,1893,1533,850,1928,1159,1967,1460
Bai3,0,0,0,0,0,0,0,0
Phf3,1114,648,574,338,767,419,665,529
Ptp4a1,235,140,128,61,150,111,157,129
Lgsn,0,0,0,1,0,0,0,0
Kcnh8,0,0,0,0,0,0,0,1
Imp4,2373,1417,1294,764,1382,760,1389,1088
Ccdc115,196,116,109,83,125,72,109,92
Bend6,26,11,9,11,11,2,24,20
Zfp451,418,203,189,88,267,101,207,149
Bag2,1803,1353,1020,732,1232,784,1127,900
Rab23,108,64,47,38,75,45,51,54
Prim2,68,46,37,29,41,30,41,58
Khdrbs2,0,0,0,0,0,0,0,1
Ptpn18,98,19,23,16,28,17,15,26
Prss39,11,1,0,3,0,1,0,2
Cfc1,0,0,0,0,0,0,0,0
Prss40,0,0,0,0,0,0,0,0
Fam168b,224,162,109,89,121,55,133,97
Plekhb2,11216,7304,6218,3838,7668,3254,6178,5363
Hs6st1,770,455,358,218,300,199,379,297
